region,amplitude_A,frequency_THz,is_baseline,coordinate_treatment,analysis_stage,filename,frame,timestep,time_ps,strain_xy,cell_volume_A3,total_line_length_A,dislocation_density_A-2,dislocation_density_m-2,segment_count,segment_number_density_A-3,segment_number_density_m-3,shockley_length_A,perfect_length_A,stair_rod_length_A,hirth_length_A,frank_length_A,other_length_A,shockley_density_A-2,perfect_density_A-2,stair_rod_density_A-2,hirth_density_A-2,frank_density_A-2,other_density_A-2,fcc_count,hcp_count,other_atom_count,hcp_fraction,other_atom_fraction,coherent_correction_applied,has_PE,has_KE
elastic,0.4,1.5,0,registered,before,elastic_dump_0.4_1.5.shear.wave,950,95000,95.0,0.095,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500,0,0,0.0,0.0,0,0,0
elastic,0.4,1.5,0,registered,before,elastic_dump_0.4_1.5.shear.wave,955,95500,95.5,0.0955,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500,0,0,0.0,0.0,0,0,0
elastic,0.4,1.5,0,registered,before,elastic_dump_0.4_1.5.shear.wave,960,96000,96.0,0.096,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500,0,0,0.0,0.0,0,0,0
elastic,0.4,1.5,0,registered,before,elastic_dump_0.4_1.5.shear.wave,965,96500,96.5,0.0965,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500,0,0,0.0,0.0,0,0,0
elastic,0.4,1.5,0,registered,before,elastic_dump_0.4_1.5.shear.wave,970,97000,97.0,0.09699999999999999,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500,0,0,0.0,0.0,0,0,0
elastic,0.4,1.5,0,registered,before,elastic_dump_0.4_1.5.shear.wave,975,97500,97.5,0.09749999999999999,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500,0,0,0.0,0.0,0,0,0
elastic,0.4,1.5,0,registered,before,elastic_dump_0.4_1.5.shear.wave,980,98000,98.0,0.09799999999999999,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500,0,0,0.0,0.0,0,0,0
elastic,0.4,1.5,0,registered,before,elastic_dump_0.4_1.5.shear.wave,985,98500,98.5,0.09849999999999999,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500,0,0,0.0,0.0,0,0,0
elastic,0.4,1.5,0,registered,before,elastic_dump_0.4_1.5.shear.wave,990,99000,99.0,0.09899999999999999,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500,0,0,0.0,0.0,0,0,0
elastic,0.4,1.5,0,registered,before,elastic_dump_0.4_1.5.shear.wave,995,99500,99.5,0.09949999999999999,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500,0,0,0.0,0.0,0,0,0
elastic,0.4,1.5,0,registered,before,elastic_dump_0.4_1.5.shear.wave,1000,100000,100.0,0.09999999999999999,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500,0,0,0.0,0.0,0,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1010,101000,101.0,0.10099999999999999,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11434,1,2065,7.407407407407407e-05,0.15296296296296297,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1011,101100,101.10000000000001,0.1011,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11465,2,2033,0.00014814814814814815,0.15059259259259258,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1012,101200,101.2,0.1012,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11635,0,1865,0.0,0.13814814814814816,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1013,101300,101.3,0.1013,158683.45183699526,7.573247127179706,4.772550029324538e-05,4772550029324538.0,1,6.301854342236216e-06,6.301854342236216e+24,7.573247127179706,0.0,0.0,0.0,0.0,0.0,4.772550029324538e-05,0.0,0.0,0.0,0.0,0.0,11520,3,1977,0.00022222222222222223,0.14644444444444443,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1014,101400,101.4,0.10139999999999999,158683.45183699526,30.02850104283837,0.00018923523968765574,1.8923523968765572e+16,4,2.5207417368944863e-05,2.5207417368944866e+25,30.02850104283837,0.0,0.0,0.0,0.0,0.0,0.00018923523968765574,0.0,0.0,0.0,0.0,0.0,11435,4,2061,0.0002962962962962963,0.15266666666666667,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1015,101500,101.5,0.10149999999999999,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11568,1,1931,7.407407407407407e-05,0.14303703703703705,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1016,101600,101.60000000000001,0.1016,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11510,1,1989,7.407407407407407e-05,0.14733333333333334,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1017,101700,101.7,0.1017,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11380,1,2119,7.407407407407407e-05,0.15696296296296297,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1018,101800,101.8,0.1018,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11467,0,2033,0.0,0.15059259259259258,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1019,101900,101.9,0.10189999999999999,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11589,0,1911,0.0,0.14155555555555555,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1020,102000,102.0,0.102,158683.45183699526,8.152248837790758,5.137428473742183e-05,5137428473742183.0,1,6.301854342236216e-06,6.301854342236216e+24,8.152248837790758,0.0,0.0,0.0,0.0,0.0,5.137428473742183e-05,0.0,0.0,0.0,0.0,0.0,11483,1,2016,7.407407407407407e-05,0.14933333333333335,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1021,102100,102.10000000000001,0.1021,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11493,1,2006,7.407407407407407e-05,0.14859259259259258,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1022,102200,102.2,0.1022,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11562,2,1936,0.00014814814814814815,0.1434074074074074,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1023,102300,102.3,0.1023,158683.45183699526,4.881699346176454,3.076375822219378e-05,3076375822219378.0,1,6.301854342236216e-06,6.301854342236216e+24,0.0,0.0,0.0,0.0,0.0,4.881699346176454,0.0,0.0,0.0,0.0,0.0,3.076375822219378e-05,11428,3,2069,0.00022222222222222223,0.15325925925925926,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1024,102400,102.4,0.10239999999999999,158683.45183699526,8.638370567884234,5.4437753073066784e-05,5443775307306678.0,1,6.301854342236216e-06,6.301854342236216e+24,8.638370567884234,0.0,0.0,0.0,0.0,0.0,5.4437753073066784e-05,0.0,0.0,0.0,0.0,0.0,11301,2,2197,0.00014814814814814815,0.16274074074074074,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1025,102500,102.5,0.1025,158683.45183699526,19.856951651560014,0.00012513561698895807,1.2513561698895806e+16,3,1.890556302670865e-05,1.890556302670865e+25,14.192170455284623,0.0,0.0,0.0,0.0,5.66478119627539,8.943699100939194e-05,0.0,0.0,0.0,0.0,3.569862597956613e-05,11502,4,1994,0.0002962962962962963,0.1477037037037037,1,0,0
elastic,0.4,1.5,0,registered,during_vibration,elastic_dump_0.4_1.5.shear.wave,1026,102600,102.60000000000001,0.1026,158683.45183699526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11546,3,1951,0.00022222222222222223,0.14451851851851852,1,0,0
