region,amplitude_A,frequency_THz,is_baseline,coordinate_treatment,analysis_stage,filename,frame,timestep,time_ps,strain_xy,cell_volume_A3,total_line_length_A,dislocation_density_A-2,dislocation_density_m-2,segment_count,segment_number_density_A-3,segment_number_density_m-3,shockley_length_A,perfect_length_A,stair_rod_length_A,hirth_length_A,frank_length_A,other_length_A,shockley_density_A-2,perfect_density_A-2,stair_rod_density_A-2,hirth_density_A-2,frank_density_A-2,other_density_A-2,fcc_count,hcp_count,other_atom_count,hcp_fraction,other_atom_fraction,coherent_correction_applied,has_PE,has_KE
flow,0.5,0.5,0,registered,before,flow_dump_0.5_0.5.shear.wave,1850,185000,185.0,0.185,158683.45183699526,1441.826292300768,0.00908617928088594,9.086179280885939e+17,126,0.0007940336471217632,7.940336471217631e+26,1167.4654380944578,4.603785611908546,121.82863208346481,44.556678307427724,0.0,103.37175820350976,0.007357197140466265,2.9012386349130486e-05,0.0007677462941038811,0.00028078969666728564,0.0,0.0006514337632993802,5939,3062,4499,0.2268148148148148,0.33325925925925926,0,1,1
flow,0.5,0.5,0,registered,before,flow_dump_0.5_0.5.shear.wave,1855,185500,185.5,0.1855,158683.45183699526,1437.2295380341995,0.009057211205050972,9.057211205050972e+17,125,0.000787731792779527,7.87731792779527e+26,1161.7754451855296,6.342864394528773,133.7958539195755,24.720090279973533,0.0,110.59528425459212,0.0073213396339458425,3.997180752687663e-05,0.0008431619829962794,0.0001557824082713225,0.0,0.0006969553723106499,5928,3069,4503,0.22733333333333333,0.33355555555555555,0,1,1
flow,0.5,0.5,0,registered,before,flow_dump_0.5_0.5.shear.wave,1860,186000,186.0,0.186,158683.45183699526,4975.515810919432,0.03135497591790757,3.135497591790757e+18,135,0.0008507503362018892,8.507503362018892e+26,3685.6746195561204,0.0,448.83295727585386,257.259246710078,0.0,583.7489873773791,0.02322658460531955,0.0,0.0028284799207475616,0.001621210300960323,0.0,0.00367870109088013,5915,3025,4560,0.22407407407407406,0.3377777777777778,0,1,1
flow,0.5,0.5,0,registered,before,flow_dump_0.5_0.5.shear.wave,1865,186500,186.5,0.1865,158683.45183699526,1704.3169668455046,0.0107403572780622,1.07403572780622e+18,122,0.0007688262297528183,7.688262297528184e+26,1352.8907364199413,0.0,161.42633713868145,67.77793029904024,0.0,122.22196298784144,0.008525720361879159,0.0,0.001017285263648687,0.0004271266443627903,0.0,0.0007702250081715626,5911,3021,4568,0.22377777777777777,0.3383703703703704,0,1,1
flow,0.5,0.5,0,registered,before,flow_dump_0.5_0.5.shear.wave,1870,187000,187.0,0.187,158683.45183699526,1550.0191724865495,0.009767995052683748,9.767995052683748e+17,129,0.0008129392101484719,8.129392101484719e+26,1208.4069916005535,6.442923376896207,156.38005819092385,52.4617493373733,0.0,126.32744998080318,0.007615204847206551,4.0602364659388584e-05,0.0009854843487496255,0.00033060630286303386,0.0,0.0007960971892051529,5916,3027,4557,0.2242222222222222,0.33755555555555555,0,1,1
flow,0.5,0.5,0,registered,before,flow_dump_0.5_0.5.shear.wave,1875,187500,187.5,0.1875,158683.45183699526,1536.1960074072153,0.009680883479805098,9.680883479805098e+17,131,0.0008255429188329443,8.255429188329443e+26,1202.2306791004264,7.870538299511893,144.28804290422232,62.24720794551858,0.0,119.55953915753562,0.007576282625458617,4.959898595851547e-05,0.0009092822297087389,0.000392272837683547,0.0,0.0007534468009956768,5888,3011,4601,0.22303703703703703,0.3408148148148148,0,1,1
flow,0.5,0.5,0,registered,before,flow_dump_0.5_0.5.shear.wave,1880,188000,188.0,0.188,158683.45183699526,1497.927042607647,0.009439718037810053,9.439718037810053e+17,126,0.0007940336471217632,7.940336471217631e+26,1221.3909315814399,5.9249625163137605,139.40151732368602,37.20419762059687,0.0,94.00543356561074,0.007697027745754433,3.733825076101869e-05,0.0008784880572605878,0.00023445543432477268,0.0,0.0005924085497092422,5867,2993,4640,0.2217037037037037,0.3437037037037037,0,1,1
flow,0.5,0.5,0,registered,before,flow_dump_0.5_0.5.shear.wave,1885,188500,188.5,0.1885,158683.45183699526,1533.7373097756965,0.009665389125459665,9.665389125459665e+17,128,0.0008066373558062356,8.066373558062357e+26,1190.2230546991996,5.014848463179432,151.90362676925645,28.928189075994343,0.0,157.66759076806719,0.007500612325485804,3.160284456334392e-05,0.0009572745299572682,0.0001823012339415852,0.0,0.0009935981915116668,5835,3005,4660,0.2225925925925926,0.3451851851851852,0,1,1
flow,0.5,0.5,0,registered,before,flow_dump_0.5_0.5.shear.wave,1890,189000,189.0,0.189,158683.4518369953,1488.4590490642256,0.009380052121586177,9.380052121586177e+17,121,0.000762524375410582,7.62524375410582e+26,1203.1402573759274,0.0,167.0499310768173,9.040746322285841,0.0,109.22811428919475,0.007582014655263685,0.0,0.0010527243335267016,5.697346646815312e-05,0.0,0.0006883396663276355,5870,3010,4620,0.22296296296296297,0.3422222222222222,0,1,1
flow,0.5,0.5,0,registered,before,flow_dump_0.5_0.5.shear.wave,1895,189500,189.5,0.1895,158683.45183699526,1497.1161961776575,0.009434608201714337,9.434608201714337e+17,129,0.0008129392101484719,8.129392101484719e+26,1212.6033220505008,10.534191187355,132.72377370722762,30.244553758185795,0.0,111.0103554743877,0.007641649510474009,6.638493847597959e-05,0.0008364058896548693,0.0001905967724300198,0.0,0.000699571090679456,5912,3016,4572,0.22340740740740742,0.33866666666666667,0,1,1
flow,0.5,0.5,0,registered,before,flow_dump_0.5_0.5.shear.wave,1900,190000,190.0,0.19,158683.45183699526,1501.7487813824728,0.009463802078903082,9.463802078903082e+17,126,0.0007940336471217632,7.940336471217631e+26,1205.5387239756446,11.467998671675558,139.27213712580374,44.83362218934846,0.0,100.63629942000073,0.007597129442419823,7.226965722585777e-05,0.0008776727220987639,0.00028253495667212355,0.0,0.0006341953004865156,5911,3054,4535,0.2262222222222222,0.3359259259259259,0,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1910,191000,191.0,0.191,158683.45183699526,574.1688975966871,0.0036183287604966636,3.6183287604966637e+17,52,0.00032769642579628326,3.276964257962832e+26,502.6269390039164,0.0,56.81822840380978,4.3666716473712475,0.0,10.357058541589844,0.003167481758086728,0.0,0.00035806019938471777,2.7518128682106268e-05,0.0,6.526867434311264e-05,3412,1243,8845,0.09207407407407407,0.6551851851851852,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1911,191100,191.1,0.1911,158683.45183699526,473.31085484036817,0.0029827360658033096,2.9827360658033094e+17,42,0.00026467788237392105,2.6467788237392104e+26,428.503336730131,0.0,22.594941415315688,0.0,0.0,22.212576694921474,0.002700365613235484,0.0,0.00014239002967068008,0.0,0.0,0.00013998042289714588,3386,1185,8929,0.08777777777777777,0.6614074074074074,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1912,191200,191.20000000000002,0.19119999999999998,158683.45183699526,467.9428115482465,0.0029489074388735406,2.9489074388735405e+17,40,0.00025207417368944865,2.5207417368944864e+26,428.3329324547345,0.0,2.9753941082692146,15.162951274690199,0.0,21.471533710552592,0.00269929175031264,0.0,1.8750500281060405e-05,9.555471033152259e-05,0.0,0.00013531047794831713,3548,1199,8753,0.08881481481481482,0.6483703703703704,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1913,191300,191.3,0.1913,158683.45183699526,508.4056843316607,0.003203898569423051,3.203898569423051e+17,47,0.00029618715408510216,2.9618715408510217e+26,443.944009623959,0.0,5.901569363423554,24.175818720912567,0.0,34.38428662336554,0.0027976704847585024,0.0,3.719083051889894e-05,0.00015235248818349845,0.0,0.00021668476596215078,3835,1283,8382,0.09503703703703703,0.6208888888888889,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1914,191400,191.4,0.1914,158683.45183699526,639.4720222170181,0.0040298595399468895,4.0298595399468896e+17,66,0.0004159223865875903,4.159223865875903e+26,550.2109006529168,0.0,38.94712881102303,5.723449439214196,0.0,44.59054331386373,0.0034673489534252835,0.0,0.0002454391328153787,3.606834470108142e-05,0.0,0.00028100310900514426,4082,1420,7998,0.10518518518518519,0.5924444444444444,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1915,191500,191.5,0.1915,158683.45183699526,647.574686609371,0.0040809213507315215,4.080921350731521e+17,66,0.0004159223865875903,4.159223865875903e+26,547.7588467277892,0.0,63.216083314349966,5.791107955342518,0.0,30.80864861188928,0.00345189646674982,0.0,0.0003983785491337027,3.6494718814733945e-05,0.0,0.00019415161603326421,4054,1503,7943,0.11133333333333334,0.5883703703703703,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1916,191600,191.6,0.1916,158683.4518369953,670.959301964273,0.004228287790547333,4.228287790547333e+17,67,0.0004222242409298264,4.222242409298264e+26,567.7577477840325,2.6306695178670956,55.13008362498547,0.0,0.0,45.44080103738783,0.003577926628211059,1.6578096124159206e-05,0.0003474217568799603,0.0,0.0,0.0002863613093321544,3983,1438,8079,0.10651851851851851,0.5984444444444444,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1917,191700,191.70000000000002,0.19169999999999998,158683.45183699526,610.3011133098348,0.0038460287209831794,3.8460287209831795e+17,58,0.00036550755184970053,3.6550755184970054e+26,504.51738024756423,2.4794347490136297,81.16312216438567,0.0,0.0,22.141176148871267,0.003179395043446753,1.5625036639362904e-05,0.0005114781738410823,0.0,0.0,0.00013953046705598133,3859,1362,8279,0.10088888888888889,0.6132592592592593,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1918,191800,191.8,0.1918,158683.45183699526,626.7109357049629,0.003949441031499243,3.949441031499243e+17,65,0.00040962053224535404,4.096205322453541e+26,515.2878782064167,9.048243175578584,62.62412706828292,8.242616112069268,2.5988996738783063,28.909171468737252,0.0032472691527767935,5.702071054562911e-05,0.00039464812709401125,5.194376613722991e-05,1.637788719486629e-05,0.00018218138775071317,3689,1300,8511,0.0962962962962963,0.6304444444444445,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1919,191900,191.9,0.1919,158683.45183699526,582.9060075391748,0.003673388754726325,3.673388754726325e+17,60,0.00037811126053417294,3.78111260534173e+26,460.01579159450523,0.0,70.09242190086042,11.199462494044365,0.0,41.59833154976445,0.002898952513757063,0.0,0.00044171223331379003,7.057738134880513e-05,0.0,0.0002621466263066649,3515,1218,8767,0.09022222222222222,0.6494074074074074,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1920,192000,192.0,0.192,158683.4518369953,497.8604258629055,0.0031374438865517224,3.137443886551722e+17,44,0.00027728159105839346,2.7728159105839348e+26,392.2784889506904,0.0,54.93631776243433,14.23074605278272,0.0,36.41487309699801,0.0024720818989597696,0.0,0.00034620067263766525,8.968008880598966e-05,0.0,0.00022948122614829762,3272,1107,9121,0.082,0.6756296296296296,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1921,192100,192.1,0.1921,158683.45183699526,440.2951937870616,0.00277467617883273,2.7746761788327302e+17,39,0.0002457723193472124,2.4577231934721242e+26,416.69277174405573,0.0,0.0,15.155219118552148,0.0,8.447202924453684,0.002625937152993722,0.0,0.0,9.550598340978918e-05,0.0,5.3233042429218915e-05,3333,1081,9086,0.08007407407407408,0.673037037037037,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1922,192200,192.20000000000002,0.19219999999999998,158683.45183699526,428.683083607106,0.0027014983518726518,2.7014983518726518e+17,38,0.0002394704650049762,2.394704650049762e+26,398.8136134111137,0.0,3.077596695179643,6.250124720944791,0.0,20.54174877986788,0.0025132653014177425,0.0,1.939456609716966e-05,3.938737561220385e-05,0.0,0.0001294511087455359,3455,1151,8894,0.08525925925925926,0.6588148148148149,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1923,192300,192.3,0.1923,158683.45183699526,511.85718915351976,0.0032256494500719326,3.225649450071933e+17,47,0.00029618715408510216,2.9618715408510217e+26,486.9293319062542,0.0,0.0,0.0,0.0,24.927857247265603,0.0030685577246356076,0.0,0.0,0.0,0.0,0.00015709172543632526,3762,1297,8441,0.09607407407407408,0.6252592592592593,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1924,192400,192.4,0.1924,158683.4518369953,524.1718692828223,0.0033032547705180272,3.3032547705180275e+17,52,0.00032769642579628315,3.2769642579628316e+26,475.10213975006434,0.0,5.96019363802302,0.0,0.0,43.10953589473488,0.00299402448238966,0.0,3.756027215834403e-05,0.0,0.0,0.000271670015970023,3931,1389,8180,0.10288888888888889,0.605925925925926,1,1,1
flow,0.5,0.5,0,registered,during_vibration,flow_dump_0.5_0.5.shear.wave,1925,192500,192.5,0.1925,158683.45183699526,610.4516578772157,0.0038469774309188285,3.846977430918829e+17,60,0.00037811126053417294,3.78111260534173e+26,493.8514272561867,0.0,52.222420652694026,0.0,0.0,64.37780996833476,0.003112179761273953,0.0,0.0003290980883522661,0.0,0.0,0.0004056995812926084,4057,1387,8056,0.10274074074074074,0.5967407407407408,1,1,1
