region,amplitude_A,frequency_THz,is_baseline,frame_count,mean_dislocation_density_A-2,delta_dislocation_density_A-2_vib_minus_base,reduction_dislocation_density_A-2_percent,mean_segment_number_density_A-3,delta_segment_number_density_A-3_vib_minus_base,reduction_segment_number_density_A-3_percent,mean_shockley_density_A-2,delta_shockley_density_A-2_vib_minus_base,reduction_shockley_density_A-2_percent,mean_perfect_density_A-2,delta_perfect_density_A-2_vib_minus_base,reduction_perfect_density_A-2_percent,mean_stair_rod_density_A-2,delta_stair_rod_density_A-2_vib_minus_base,reduction_stair_rod_density_A-2_percent,mean_hirth_density_A-2,delta_hirth_density_A-2_vib_minus_base,reduction_hirth_density_A-2_percent,mean_frank_density_A-2,delta_frank_density_A-2_vib_minus_base,reduction_frank_density_A-2_percent,mean_other_density_A-2,delta_other_density_A-2_vib_minus_base,reduction_other_density_A-2_percent,mean_hcp_fraction,delta_hcp_fraction_vib_minus_base,reduction_hcp_fraction_percent,mean_other_atom_fraction,delta_other_atom_fraction_vib_minus_base,reduction_other_atom_fraction_percent
elastic,0.3,0.8,0,91,4.014180546844698e-05,4.014180546844698e-05,nan,4.847580263258627e-06,4.847580263258627e-06,nan,3.488331217110627e-05,3.488331217110627e-05,nan,4.8706587151782234e-06,4.8706587151782234e-06,nan,0.0,0.0,nan,3.8783458216248384e-07,3.8783458216248384e-07,nan,0.0,0.0,nan,0.0,0.0,nan,9.686609686609687e-05,9.686609686609687e-05,nan,0.16090028490028488,0.16090028490028488,nan
elastic,0.3,1.0,0,91,3.1473015424555176e-05,3.1473015424555176e-05,nan,4.016566503842863e-06,4.016566503842863e-06,nan,2.2143199514287732e-05,2.2143199514287732e-05,nan,9.329815910267448e-06,9.329815910267448e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,9.035409035409036e-05,9.035409035409036e-05,nan,0.15053398453398453,0.15053398453398453,nan
elastic,0.3,1.2,0,91,4.4175163413204365e-05,4.4175163413204365e-05,nan,6.509607782090157e-06,6.509607782090157e-06,nan,2.4340939029174633e-05,2.4340939029174633e-05,nan,1.939410324333438e-05,1.939410324333438e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,4.401211406953464e-07,4.401211406953464e-07,nan,8.872608872608872e-05,8.872608872608872e-05,nan,0.1501115181115181,0.1501115181115181,nan
elastic,0.3,1.5,0,91,3.498865346764501e-05,3.498865346764501e-05,nan,4.085817650460844e-06,4.085817650460844e-06,nan,3.498865346764501e-05,3.498865346764501e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,7.081807081807082e-05,7.081807081807082e-05,nan,0.1486707366707367,0.1486707366707367,nan
elastic,0.4,0.5,0,91,4.509676885300464e-06,4.509676885300464e-06,nan,5.540091729438431e-07,5.540091729438431e-07,nan,3.707244465970492e-06,3.707244465970492e-06,nan,8.024324193299721e-07,8.024324193299721e-07,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,6.267806267806268e-05,6.267806267806268e-05,nan,0.21207977207977208,0.21207977207977208,nan
elastic,0.4,0.8,0,91,6.0807380796179984e-06,6.0807380796179984e-06,nan,9.002649060337451e-07,9.002649060337451e-07,nan,3.594242591543923e-06,3.594242591543923e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,2.4864954880740764e-06,2.4864954880740764e-06,nan,7.488807488807489e-05,7.488807488807489e-05,nan,0.17445014245014245,0.17445014245014245,nan
elastic,0.4,1.0,0,91,1.4875633551235512e-05,1.4875633551235512e-05,nan,1.592776372213549e-06,1.592776372213549e-06,nan,6.4403565435064535e-06,6.4403565435064535e-06,nan,8.063490535052935e-06,8.063490535052935e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,3.717864726761251e-07,3.717864726761251e-07,nan,8.221408221408222e-05,8.221408221408222e-05,nan,0.15148392348392348,0.15148392348392348,nan
elastic,0.4,1.2,0,91,4.942050317106007e-06,4.942050317106007e-06,nan,7.617626127977844e-07,7.617626127977844e-07,nan,3.4432355251439553e-06,3.4432355251439553e-06,nan,1.4988147919620521e-06,1.4988147919620521e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,4.558404558404559e-05,4.558404558404559e-05,nan,0.14335938135938134,0.14335938135938134,nan
elastic,0.4,1.5,0,91,1.3897758411737272e-05,1.3897758411737272e-05,nan,1.8697809586854708e-06,1.8697809586854708e-06,nan,1.3167402541388263e-05,1.3167402541388263e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,7.3035587034901e-07,7.3035587034901e-07,nan,8.221408221408222e-05,8.221408221408222e-05,nan,0.15297110297110297,0.15297110297110297,nan
elastic,0.5,0.5,0,91,1.661708290583948e-06,1.661708290583948e-06,nan,2.0775343985394116e-07,2.0775343985394116e-07,nan,1.661708290583948e-06,1.661708290583948e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,2.9304029304029302e-05,2.9304029304029302e-05,nan,0.2442238502238502,0.2442238502238502,nan
