region,amplitude_A,frequency_THz,is_baseline,analysis_stage,frame_count,mean_dislocation_density_A-2,delta_dislocation_density_A-2_vib_minus_base,reduction_dislocation_density_A-2_percent,mean_segment_number_density_A-3,delta_segment_number_density_A-3_vib_minus_base,reduction_segment_number_density_A-3_percent,mean_shockley_density_A-2,delta_shockley_density_A-2_vib_minus_base,reduction_shockley_density_A-2_percent,mean_perfect_density_A-2,delta_perfect_density_A-2_vib_minus_base,reduction_perfect_density_A-2_percent,mean_stair_rod_density_A-2,delta_stair_rod_density_A-2_vib_minus_base,reduction_stair_rod_density_A-2_percent,mean_hirth_density_A-2,delta_hirth_density_A-2_vib_minus_base,reduction_hirth_density_A-2_percent,mean_frank_density_A-2,delta_frank_density_A-2_vib_minus_base,reduction_frank_density_A-2_percent,mean_other_density_A-2,delta_other_density_A-2_vib_minus_base,reduction_other_density_A-2_percent,mean_hcp_fraction,delta_hcp_fraction_vib_minus_base,reduction_hcp_fraction_percent,mean_other_atom_fraction,delta_other_atom_fraction_vib_minus_base,reduction_other_atom_fraction_percent
elastic,0.1,1.0,0,during_vibration,91,2.4434257784004694e-05,2.4434257784004694e-05,nan,3.324055037663059e-06,3.324055037663059e-06,nan,1.5384757955082687e-05,1.5384757955082687e-05,nan,9.049499828922007e-06,9.049499828922007e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,7.163207163207163e-05,7.163207163207163e-05,nan,0.13496296296296295,0.13496296296296295,nan
elastic,0.1,1.2,0,after_removal,13,0.0014946290126906336,0.0014946290126906336,nan,0.00013427797329226398,0.00013427797329226398,nan,0.0012334792542847328,0.0012334792542847328,nan,4.239549061989733e-06,4.239549061989733e-06,nan,0.00020257744922563288,0.00020257744922563288,nan,2.9676072890062664e-05,2.9676072890062664e-05,nan,0.0,0.0,nan,2.465668722821541e-05,2.465668722821541e-05,nan,0.009173789173789174,0.009173789173789174,nan,0.19511680911680912,0.19511680911680912,nan
elastic,0.1,1.2,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.1,1.2,0,during_vibration,91,2.4153292690833068e-05,2.4153292690833068e-05,nan,3.1163015978091175e-06,3.1163015978091175e-06,nan,9.721657037234741e-06,9.721657037234741e-06,nan,1.4431635653598327e-05,1.4431635653598327e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,3.5002035002035e-05,3.5002035002035e-05,nan,0.1283988603988604,0.1283988603988604,nan
elastic,0.1,1.5,0,after_removal,13,0.0026910399052367637,0.0026910399052367637,nan,0.0001774214376352658,0.0001774214376352658,nan,0.0025069897382373374,0.0025069897382373374,nan,6.98024424115426e-06,6.98024424115426e-06,nan,9.71939092839681e-05,9.71939092839681e-05,nan,4.6362269838098346e-05,4.6362269838098346e-05,nan,0.0,0.0,nan,3.351374363620561e-05,3.351374363620561e-05,nan,0.03259259259259259,0.03259259259259259,nan,0.23437037037037037,0.23437037037037037,nan
elastic,0.1,1.5,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.1,1.5,0,during_vibration,91,0.0002599714134853542,0.0002599714134853542,nan,2.624618456821457e-05,2.624618456821457e-05,nan,0.0002069607286578697,0.0002069607286578697,nan,5.301068482748452e-05,5.301068482748452e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0006202686202686202,0.0006202686202686202,nan,0.12504517704517704,0.12504517704517704,nan
elastic,0.2,0.5,0,after_removal,13,0.000917474615392688,0.000917474615392688,nan,8.046983237009323e-05,8.046983237009323e-05,nan,0.0008311120657986765,0.0008311120657986765,nan,0.0,0.0,nan,7.660349712259451e-05,7.660349712259451e-05,nan,1.873490847537275e-06,1.873490847537275e-06,nan,0.0,0.0,nan,7.885561623879706e-06,7.885561623879706e-06,nan,0.003886039886039886,0.003886039886039886,nan,0.19336182336182337,0.19336182336182337,nan
elastic,0.2,0.5,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.2,0.5,0,during_vibration,91,2.1204708322563237e-05,2.1204708322563237e-05,nan,2.4930412782472944e-06,2.4930412782472944e-06,nan,1.4288231308843604e-05,1.4288231308843604e-05,nan,6.9164770137196325e-06,6.9164770137196325e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,5.535205535205535e-05,5.535205535205535e-05,nan,0.13423524623524624,0.13423524623524624,nan
elastic,0.2,0.8,0,after_removal,13,0.0023426491487706347,0.0023426491487706347,nan,0.00016966530921405196,0.00016966530921405196,nan,0.002049156539585394,0.002049156539585394,nan,2.1715218160060175e-05,2.1715218160060175e-05,nan,0.0001403841670355061,0.0001403841670355061,nan,6.815680409015586e-05,6.815680409015586e-05,nan,0.0,0.0,nan,6.323641989951821e-05,6.323641989951821e-05,nan,0.0245982905982906,0.0245982905982906,nan,0.21056980056980057,0.21056980056980057,nan
